id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
133	"sarac, hilal"	0.7888	-0.0554	11	7	7	1	15	1.25	2015	15	1.25
134	"schneider, valerie a."	0.4101	-0.3908	12	6	6	1	11	0.9802	2017	11	0.9802
135	"scibisz, allison"	-0.7149	-0.1896	1	15	15	1	14	1.4237	2020	14	1.4237
136	"shahroodi, taha"	-0.7027	-0.0817	1	4	4	1	13	1.322	2020	13	1.322
137	"shi, huwenbo"	-0.803	0.2614	5	16	16	1	5	2	2021	5	2
138	"singer, benjamin d."	-0.8933	0.2514	5	16	16	1	5	2	2021	5	2
139	"singh, gagandeep"	-0.7772	-0.4328	1	17	17	1	0	1	2022	0	1
140	"skums, pavel"	-0.8619	0.2153	5	16	16	1	5	2	2021	5	2
141	"somel, mehmet"	0.9139	-0.0532	11	27	28	2	16	1.3345	2015.5	8	0.6673
142	"soylev, arda"	0.2459	0.0505	13	5	7	2	25	1.4548	2018	12.5	0.7274
143	"steinberg, karyn meltz"	0.4339	-0.4154	12	6	6	1	11	0.9802	2017	11	0.9802
144	"subramanian, lavanya"	-0.8178	-0.237	1	15	15	1	14	1.4237	2020	14	1.4237
145	"subramoney, sreenivas"	-0.8011	-0.3104	1	23	32	2	14	2.4237	2021	7	1.2119
146	"sullivan, beth"	0.0921	-1.0247	6	14	14	1	0	1	2022	0	1
147	"tang, joyce"	0.3136	0.547	9	8	8	1	16	1.4257	2017	16	1.4257
148	"taraszka, kodi"	-0.7901	0.1372	5	16	16	1	5	2	2021	5	2
149	"thieffry, denis"	-0.2692	0.7381	3	10	16	2	0	0	2017	0	0
150	thong minh le	0.2848	0.0388	13	4	4	1	14	0.4746	2019	14	0.4746
151	"togan, ınci"	1.0718	-0.0265	2	21	21	1	1	0.0845	2016	1	0.0845
152	"tokat, unal"	-0.2184	0.7568	3	8	8	1	0	0	2017	0	0
153	"tokat, unal metin"	-0.3636	0.7314	3	8	8	1	0	0	2017	0	0
154	"ventura, mario"	0.4298	0.6543	7	19	43	4	49	4.2145	2016.5	12.25	1.0536
155	"warren, wesley c."	0.439	-0.4495	12	6	6	1	11	0.9802	2017	11	0.9802
156	"wiemann, stefan"	-0.3202	0.9104	3	10	10	1	30	1.1475	2018	30	1.1475
157	"wilson, richard k."	0.4499	-0.385	12	6	6	1	11	0.9802	2017	11	0.9802
158	"xin, hongyi"	-0.3342	-0.1124	8	17	32	5	147	9.7486	2016.2	29.4	1.9497
159	"xue, victor"	-0.835	0.1235	5	16	16	1	5	2	2021	5	2
160	"yaka, reyhan"	1.1147	-0.0349	2	21	21	1	1	0.0845	2016	1	0.0845
161	"yang, harry taegyun"	-0.8181	0.2161	5	16	16	1	5	2	2021	5	2
162	"yuksel, bayram"	0.0882	-0.3194	4	8	8	1	2	0.1667	2015	2	0.1667
163	"yuncu, eren"	1.1672	-0.1307	2	21	21	1	1	0.0845	2016	1	0.0845
164	"zelikovsky, alex"	-0.7706	0.2251	5	16	16	1	5	2	2021	5	2
165	"zhang, lillian"	-0.129	-0.4104	4	5	5	1	20	0.765	2018	20	0.765
166	"zhu, richard"	-0.2353	-0.0256	8	7	7	1	15	1.2676	2016	15	1.2676
167	"zuo, ziyi"	-0.7991	-0.385	1	17	17	1	0	1	2022	0	1
168	"ıleri, atalay mert"	-0.3341	0.2362	10	3	3	1	59	2.2568	2018	59	2.2568
169	"ıseric, hamza"	-0.1228	-0.3316	4	3	3	1	0	1	2022	0	1
