1	7	1
1	19	1
1	25	1
1	29	1
1	41	1
1	46	1
1	52	1
1	68	1
1	73	1
1	76	1
1	79	1
1	85	1
1	89	1
1	92	1
1	98	1
1	114	1
1	115	1
1	141	1
1	151	1
1	160	1
1	163	1
2	7	1
2	43	1
2	57	1
2	97	1
2	117	1
2	133	1
2	141	1
3	5	1
3	7	1
3	27	1
3	47	1
3	59	1
3	96	1
3	123	1
3	129	1
3	131	1
3	156	1
4	7	1
4	71	1
4	72	1
4	84	1
4	94	1
4	130	1
4	132	1
4	162	1
5	7	1
5	27	1
5	47	1
5	59	1
5	96	1
5	123	1
5	129	1
5	131	1
5	156	1
6	7	1
6	13	1
6	14	1
6	23	1
6	33	1
6	34	1
6	37	1
6	40	1
6	64	1
6	105	1
6	120	1
6	127	1
6	154	1
7	8	1
7	9	12
7	10	1
7	11	1
7	12	1
7	13	3
7	14	3
7	15	1
7	16	1
7	17	1
7	18	2
7	19	1
7	20	1
7	21	1
7	22	1
7	23	3
7	24	1
7	25	1
7	26	4
7	27	1
7	28	1
7	29	1
7	30	1
7	31	6
7	32	1
7	33	3
7	34	3
7	35	2
7	36	1
7	37	4
7	38	1
7	39	2
7	40	3
7	41	1
7	42	1
7	43	2
7	44	1
7	45	1
7	46	1
7	47	1
7	48	1
7	49	1
7	50	2
7	51	1
7	52	1
7	53	2
7	54	1
7	55	1
7	56	1
7	57	1
7	58	1
7	59	3
7	60	6
7	61	2
7	62	1
7	63	5
7	64	3
7	65	1
7	66	1
7	67	3
7	68	1
7	69	1
7	70	1
7	71	2
7	72	5
7	73	1
7	74	1
7	75	3
7	76	1
7	77	1
7	78	2
7	79	1
7	80	1
7	81	2
7	82	1
7	83	1
7	84	2
7	85	1
7	86	2
7	87	5
7	88	2
7	89	1
7	90	1
7	91	1
7	92	1
7	93	1
7	94	1
7	95	1
7	96	1
7	97	1
7	98	1
7	99	2
7	100	1
7	101	1
7	102	1
7	103	1
7	104	1
7	105	3
7	106	1
7	107	1
7	108	16
7	109	1
7	110	1
7	111	1
7	112	1
7	113	3
7	114	1
7	115	1
7	116	1
7	117	1
7	118	1
7	119	2
7	120	3
7	121	1
7	122	2
7	123	3
7	124	2
7	125	1
7	126	1
7	127	1
7	128	1
7	129	1
7	130	1
7	131	3
7	132	1
7	133	1
7	134	1
7	135	1
7	136	1
7	137	1
7	138	1
7	139	1
7	140	1
7	141	2
7	142	2
7	143	1
7	144	1
7	145	2
7	146	1
7	147	1
7	148	1
7	149	2
7	150	1
7	151	1
7	152	1
7	153	1
7	154	4
7	155	1
7	156	1
7	157	1
7	158	5
7	159	1
7	160	1
7	161	1
7	162	1
7	163	1
7	164	1
7	165	1
7	166	1
7	167	1
7	168	1
7	169	1
8	9	1
8	18	1
8	112	1
9	10	1
9	17	1
9	18	1
9	20	1
9	22	1
9	26	4
9	28	1
9	30	1
9	31	4
9	35	1
9	39	1
9	45	1
9	53	2
9	60	3
9	62	1
9	63	4
9	67	3
9	75	3
9	81	2
9	82	1
9	86	2
9	87	3
9	90	1
9	93	1
9	95	1
9	99	1
9	102	1
9	104	1
9	108	11
9	111	1
9	112	1
9	118	1
9	126	1
9	135	1
9	136	1
9	137	1
9	138	1
9	139	1
9	140	1
9	144	1
9	145	2
9	148	1
9	158	2
9	159	1
9	161	1
9	164	1
9	167	1
10	26	1
10	31	1
10	35	1
10	60	1
10	62	1
10	63	1
10	67	1
10	81	1
10	82	1
10	86	1
10	102	1
10	108	1
10	139	1
10	145	1
10	167	1
11	15	1
11	37	1
11	49	1
11	106	1
11	122	1
